Person_ID,Family_Line_ID,Generation,First_Name,Gender,Ethnicity,Mother_ID,Father_ID,Spouse_ID,Shared_Ancestry_Key,DOB,DOD,Longevity_Avg_Lifespan,Generation_Avg_Lifespan,Cause_of_Death,Eye_Color,Hair_Color,Skin_Tone,Blood_Group,Birthmark,Freckles,Baldness,Beard_Style_Trend,Condition_Diabetes,Condition_Heart_Issue,Condition_Asthma,Condition_Color_Blindness,Left_Handed,Is_Twin,Nature_of_Person,Recipes_Cuisine,Family_Traditions,Native_Location,Migration_Path,Socioeconomic_Status,Education_Level,Other_Disease,Passion,Disability,Email,Password
P0001,F01,1,Person_1,M,East Asian,N/A,N/A,P0002,IBDHAC,01-01-1911,01-01-2004,93,84.55913978,Infection,Brown,Red,Dark,A,No,No,No,Full Beard,No,No,No,No,Yes,No,Aggressive,Sweet_R3,Festival_U1,City_8,,High,High School,,,,person1.p0001@kulsetufamily.com,0d40425b47c6a85c0914ab499dbe028a42bf1b7397342f9b4678b34720d6d6e7
P0002,F01,1,Person_2,F,South Asian,N/A,N/A,P0001,IEGDCB,01-01-1912,31-12-2002,91,84.55913978,Accident,Green,Blonde,Dark,AB,No,No,No,N/A,No,No,Yes,No,No,No,Introvert,Festive_F3,Festival_U3,Village_3,,High,High School,,,,person2.p0002@kulsetufamily.com,e42abe01f2b1d7070cbe28263f1bc82b99b707b1b4934aa6f955d503e56aadf8
P0003,F02,1,Person_3,F,East Asian,N/A,N/A,P0004,EBBCDI,01-01-1906,31-12-1996,91,84.40932642,Infection,Green,Red,Light,AB,No,No,No,N/A,No,No,No,No,Yes,No,Artistic,Sweet_R2,Festival_U1,City_7,,Low,PhD,,,,person3.p0003@kulsetufamily.com,fa179f7a14669fca0ebd59322ede2bf261ebcc3119ad890cb3848335b13c26a9
P0004,F02,1,Person_4,F,African,N/A,N/A,P0003,AFGHBG,01-01-1919,31-12-2000,82,84.40932642,Infection,Blue,Blonde,Dark,O,No,No,No,N/A,No,No,No,No,Yes,No,Aggressive,Festive_F1,Festival_U3,City_7,,Low,Bachelor's,,,,person4.p0004@kulsetufamily.com,c0597a448f3cc33bf77753871bb3b1fa0b38e240c3fb57824aa793613f4ec1af
P0005,F03,1,Person_5,M,Mixed,N/A,N/A,P0006,CDAEHA,01-01-1916,01-01-1992,76,83.27751196,Accident,Brown,Blonde,Dark,A,No,Yes,No,Full Beard,No,No,No,No,No,No,Calm,Sweet_R2,Festival_U1,City_4,,Medium,Bachelor's,,,,person5.p0005@kulsetufamily.com,d3326859d67c50fbac1432796f85762dd227494ab017f14d26fbda8e6ea7b3c4
P0006,F03,1,Person_6,M,Mixed,N/A,N/A,P0005,FDBCEE,01-01-1907,01-01-1975,68,83.27751196,Old Age,Hazel,Gray,Light,AB,No,No,No,Moustache,Yes,No,No,No,No,No,Calm,Festive_F1,Ritual_S2,City_3,,Low,High School,,,,person6.p0006@kulsetufamily.com,9e6ef92eedb2dd02a38a21f3b18f9220f48efb152c4ec7b038a4cc585e0c55b8
P0007,F04,1,Person_7,F,Mixed,N/A,N/A,P0008,GAFIBE,01-01-1902,01-01-1983,81,82.9787234,Old Age,Green,Black,Dark,O,No,No,No,N/A,No,No,No,No,No,No,Calm,Sweet_R2,Festival_U1,City_9,,Low,Bachelor's,,,,person7.p0007@kulsetufamily.com,887f776f928eb3443671a21b9361bee71403feac7d67018075317b755693c050
P0008,F04,1,Person_8,M,Western European,N/A,N/A,P0007,JDCCJG,01-01-1900,02-01-1980,80,82.9787234,Infection,Brown,Red,Medium,AB,No,No,No,Full Beard,No,No,No,No,Yes,No,Artistic,Sweet_R1,Festival_U1,City_4,,Low,PhD,,,,person8.p0008@kulsetufamily.com,e1575fb0414ed4f972c2615e77595ad63e873efb2fa1ce9231e2aaa9e5938ae3
P0009,F05,1,Person_9,M,East Asian,N/A,N/A,P0010,GFCABF,01-01-1901,01-01-1996,95,82.87634409,Old Age,Blue,Brown,Medium,A,No,No,No,Moustache,No,No,No,No,Yes,No,Extrovert,Festive_F3,Ritual_S2,Village_8,,High,High School,,,,person9.p0009@kulsetufamily.com,f2a04b1c905822d637a629edf5132afc72f889b0cdfd8e43e3062dcad4a26e8d
P0010,F05,1,Person_10,F,African,N/A,N/A,P0009,BDJEIG,01-01-1913,01-01-2007,94,82.87634409,Accident,Hazel,Gray,Dark,B,No,No,No,N/A,No,No,No,No,Yes,No,Artistic,Festive_F3,Festival_U2,City_6,,Medium,Bachelor's,,,,person10.p0010@kulsetufamily.com,93b57f78d1a48a3c306343256f42930411923281655f0c783f5803ac57b822e2
